name,ring,quadrant,isNew,description
Babel,adopt,languages & frameworks,TRUE,
Bash,adopt,languages & frameworks,FALSE,
CSS,adopt,languages & frameworks,FALSE,
Go,adopt,languages & frameworks,TRUE,Designed for building microservice I evaluated Go in the end of 2015 to refactor our architecture at fashion4home. I build some open source projects (not finished) and use it at home24.
HTML,adopt,languages & frameworks,FALSE,
Javascript,adopt,languages & frameworks,FALSE,
JSON,adopt,languages & frameworks,FALSE,
Laraval,adopt,languages & frameworks,FALSE,
Lumen,adopt,languages & frameworks,FALSE,
NodeJS,adopt,languages & frameworks,TRUE,
PHP,adopt,languages & frameworks,FALSE,
SASS,adopt,languages & frameworks,FALSE,
Shell,adopt,languages & frameworks,FALSE,
SQL,adopt,languages & frameworks,FALSE,
Symfony,adopt,languages & frameworks,FALSE,
XML,adopt,languages & frameworks,FALSE,
Jest,assess,languages & frameworks,TRUE,
.NET,hold,languages & frameworks,FALSE,
Angular JS,hold,languages & frameworks,FALSE,
ASP .NET,hold,languages & frameworks,FALSE,
BackboneJs,hold,languages & frameworks,FALSE,
Basic,hold,languages & frameworks,FALSE,
C/C++,hold,languages & frameworks,FALSE,
C#,hold,languages & frameworks,FALSE,Originally my favourite programming language I stopped using it in 2010 because it was not very common in web applications. Focusing on PHP still I love the C# syntax but it's sad that there is no good unix/linux adoption.
CakePHP,hold,languages & frameworks,FALSE,
Groovy,hold,languages & frameworks,FALSE,
Gulp,hold,languages & frameworks,FALSE,
Handlebars,hold,languages & frameworks,FALSE,
J2EE,hold,languages & frameworks,FALSE,
Java,hold,languages & frameworks,FALSE,
jQuery,hold,languages & frameworks,FALSE,
Magento,hold,languages & frameworks,FALSE,
Microsoft SQL,hold,languages & frameworks,FALSE,
PL/SQL,hold,languages & frameworks,FALSE,
PowerBuilder,hold,languages & frameworks,FALSE,
Prolog,hold,languages & frameworks,FALSE,
Python,hold,languages & frameworks,FALSE,
Silex,hold,languages & frameworks,FALSE,
Slim,hold,languages & frameworks,FALSE,
Smarty,hold,languages & frameworks,FALSE,
Spryker,hold,languages & frameworks,FALSE,
Turbo Pascal,hold,languages & frameworks,FALSE,
Twitter Bootstrap,hold,languages & frameworks,FALSE,
Visual Basic,hold,languages & frameworks,FALSE,
Windows Forms,hold,languages & frameworks,FALSE,
Zend Framework,hold,languages & frameworks,FALSE,
ES6,trial,languages & frameworks,TRUE,
React,trial,languages & frameworks,TRUE,
Redux,trial,languages & frameworks,TRUE,
Reveal JS,trial,languages & frameworks,FALSE,
Webpack,trial,languages & frameworks,TRUE,
AWS,adopt,platforms,FALSE,
AWS Cloud Formation,adopt,platforms,FALSE,
AWS CloudFront,adopt,platforms,FALSE,
AWS CloudSearch,adopt,platforms,FALSE,
AWS CloudWatch,adopt,platforms,FALSE,
AWS EC2,adopt,platforms,FALSE,
AWS Lambda,adopt,platforms,TRUE,
AWS Route53,adopt,platforms,FALSE,
AWS S3,adopt,platforms,FALSE,
AWS SNS,adopt,platforms,FALSE,
AWS SQS,adopt,platforms,FALSE,
AWS VPC,adopt,platforms,FALSE,
Docker,adopt,platforms,TRUE,
Linux,adopt,platforms,FALSE,
MacOS,adopt,platforms,FALSE,
Microsoft Windows 95/98/XP/7/10,adopt,platforms,FALSE,
MongoDB,adopt,platforms,FALSE,
MySQL,adopt,platforms,FALSE,
Redis,adopt,platforms,TRUE,
Saucelbas,adopt,platforms,FALSE,
Ubuntu,adopt,platforms,FALSE,
AWS API Gateway,assess,platforms,TRUE,
Neo4J,assess,platforms,FALSE,
AWS DynamoDB,hold,platforms,FALSE,
CentOS,hold,platforms,FALSE,
Debian,hold,platforms,FALSE,
KeyCDN,hold,platforms,FALSE,
Microsoft Windows NT,hold,platforms,FALSE,
Microsoft Windows Server 2000/2003,hold,platforms,FALSE,
Oracle Database,hold,platforms,FALSE,
Design Patterns,adopt,techniques,FALSE,
DRY,adopt,techniques,FALSE,
eCommerce,adopt,techniques,FALSE,
Gitflow,adopt,techniques,FALSE,
Kanban,adopt,techniques,FALSE,
KISS,adopt,techniques,FALSE,
Line Management,adopt,techniques,FALSE,
Microservices,adopt,techniques,FALSE,
OOP,adopt,techniques,FALSE,
Open Source,adopt,techniques,FALSE,
Project Management,adopt,techniques,FALSE,
REST API,adopt,techniques,FALSE,
Scrum,adopt,techniques,FALSE,
SEO,adopt,techniques,FALSE,
SOA,adopt,techniques,FALSE,
TDD,adopt,techniques,FALSE,
UML,adopt,techniques,FALSE,
YAGNI,adopt,techniques,FALSE,
Fahrerausweis für motorisch angetriebene Flurförderfahrzeuge nach DIN 15 140 im innerbetrieblichen Werksverkehr,hold,techniques,FALSE,
Waterfall,hold,techniques,FALSE,
Agile,trial,techniques,TRUE,
AWS IAM,adopt,tools,FALSE,
Composer,adopt,tools,FALSE,
Confluence,adopt,tools,FALSE,
Git,adopt,tools,FALSE,
Github,adopt,tools,FALSE,
Gliffy,adopt,tools,FALSE,
Goland,adopt,tools,TRUE,
Google Analytics,adopt,tools,FALSE,
Google Docs,adopt,tools,FALSE,
Google Tag Manager,adopt,tools,TRUE,
Google Webmaster Tools,adopt,tools,FALSE,
Jira,adopt,tools,FALSE,
Lego,adopt,tools,FALSE,
Nginx,adopt,tools,FALSE,
Notepad++,adopt,tools,FALSE,
NPM,adopt,tools,FALSE,
Open Office,adopt,tools,FALSE,
Phing,adopt,tools,FALSE,
PHPUnit,adopt,tools,FALSE,
Postman,adopt,tools,TRUE,
Selenium,adopt,tools,FALSE,
Slack,adopt,tools,FALSE,
Sublime,adopt,tools,FALSE,
Swagger,adopt,tools,TRUE,
VersionEye,adopt,tools,FALSE,
VIM,adopt,tools,FALSE,
Ansible,assess,tools,TRUE,
CircleCI,assess,tools,TRUE,
Galen,assess,tools,FALSE,
Nightwatch,assess,tools,TRUE,
SaltStack,assess,tools,TRUE,
TravisCI,assess,tools,TRUE,
Apache Webserver,hold,tools,FALSE,
Astah,hold,tools,FALSE,
Bitbucket,hold,tools,FALSE,
Chef,hold,tools,FALSE,
Eclipse,hold,tools,FALSE,
Elektronischer Leitz Ordner,hold,tools,FALSE,
Grunt,hold,tools,FALSE,
IIS,hold,tools,FALSE,
JBoss,hold,tools,FALSE,
Jenkins,hold,tools,FALSE,
Microsoft Office,hold,tools,FALSE,
MochaJS,hold,tools,FALSE,
Netbeans,hold,tools,FALSE,
New Relic,hold,tools,FALSE,
Optimal Systems,hold,tools,FALSE,
Oracle Virtual Box,hold,tools,FALSE,
Patternlab,hold,tools,FALSE,
PhantomJS,hold,tools,FALSE,
PHPStorm,hold,tools,FALSE,
Puppet,hold,tools,FALSE,
Subversion,hold,tools,FALSE,
Tomcat,hold,tools,FALSE,
Vagrant,hold,tools,FALSE,
Visual Studio,hold,tools,FALSE,
Yarn,hold,tools,TRUE,
OpenVPN,trial,tools,TRUE,
Phraseapp,trial,tools,TRUE,
OAUTH2,trial,tools,TRUE,
Google API (Spreadsheet / Drive),trial,tools,TRUE,
Jobvite API (candidates),trial,tools,TRUE,
Scala,trial,languages & frameworks,TRUE,
